DR1,DR2,DR3,DR4
-103.707656,41.828383,1256,0
-103.717748,41.832533,1266.3336,1.01081799994734
-103.726193,41.838909,1228.316144,2.00756726822789
-103.734481,41.845547,1226.0308,3.01612375230967
-103.735724,41.854802,1210,4.06403195928396
-103.735835,41.863351,1199.9424,5.01468632011886
-103.726701,41.865821,1188.2472,6.03084926690082
-103.714272,41.865978,1185.818287,7.06023566937704
-103.701337,41.866124,1185.8132,8.13148719499954
-103.694848,41.870068,1185.341955,9.08779707889712
-103.694527,41.878522,1188.3208,10.0288906839638
-103.6895,41.885202,1188.05456,11.00778473651
-103.69371,41.882239,1188,12.0002406158513
-103.703052,41.888686,1189.003451,13.0549448924377
-103.712644,41.89543,1194.0664,14.1470712166215
-103.721668,41.901762,1193.001505,15.1735398301675
-103.729194,41.907039,1198.954209,16.0292592136699
-103.738968,41.913914,1206.8056,17.1421796434075
-103.747038,41.919572,1215.4592,18.0596438127514
-103.756899,41.92458,1210.735363,19.0508228379226
-103.768683,41.928418,1218,20.1155580199926
-103.777993,41.932921,1223.375313,21.0728387133176
-103.787699,41.937812,1224.65546,22.0425734612757
-103.797804,41.942126,1206.6209,23.0100955955465
-103.81008,41.942785,1205.992512,24.0339406564425
-103.823459,41.944759,1206.1324,25.2046270649331
-103.83293,41.948233,1208.254062,26.0790146370053
-103.843279,41.952186,1207.3912,27.0412119528889
-103.854032,41.956335,1208.609251,28.0429996007021
-103.8661,41.960998,1208.390912,29.1675801575019
-103.875586,41.964175,1211.106312,30.0318259403545
-103.887886,41.964102,1212.531701,31.0495492171354
-103.901272,41.963734,1213,32.1571728091606
-103.911964,41.963587,1217.8428,33.0413659839117
-103.92417,41.96342,1214.676,34.0507576043983
-103.935943,41.963298,1215.7324,35.024302848263
-103.949841,41.963886,1220.9896,36.176624969611
-103.96154,41.964752,1221.456,37.1486857267584
-103.972666,41.965548,1221,38.0728370561487
-103.984181,41.966931,1225,39.0415397254955
-103.995778,41.968376,1225.9544,40.0163365380243
-104.008837,41.972258,1228.96606,41.183912550732
-104.017956,41.97551,1228.372378,42.0202299383515
-104.026997,41.983071,1240.57652,43.1511481607441
-104.033381,41.989333,1231.496046,44.0254959565693
-104.040731,41.99716,1235.534278,45.0979309541101
-104.049947,42.001745,1231.365189,46.016548793141
-104.060954,42.00724,1233.506797,47.1125864023585
-104.076802,42.015321,1234.924192,48.7006170209827
-104.081881,42.017936,1238.5696,49.2111109837109
-104.090961,42.022342,1235.76698,50.107488623973
-104.11091,42.030932,1238.3552,52.0121139926402
-104.110989,42.030961,1238.4596,52.0193922323069
-104.125504,42.037198,1239.983816,53.4043838202147
-104.135041,42.04131,1243,54.3150861017287
-104.144731,42.045445,1243.602,55.2379616980713
-104.153254,42.049096,1243,56.0504363244218
-104.163941,42.053714,1247.958287,57.0713854122375
-104.173848,42.057928,1249.5408,58.0140542682507
-104.184193,42.062624,1251.0948,59.0196932729203
-104.194679,42.067117,1255.2232,60.0194019969838
-104.208261,42.072693,1256.513874,61.3022500783894
-104.214635,42.07675,1255.614,62.0014505866365
-104.225713,42.080172,1258.163437,63.0095805629384
-104.241831,42.08707,1257.452,64.5450859140895
-104.246993,42.089284,1256.651436,65.0370767058303
-104.257226,42.0937,1255.3336,66.0138995609959
-104.267635,42.098127,1256.361001,67.0042399184035
-104.278249,42.102664,1262.285245,68.0148942063839
-104.289418,42.107763,1266.036935,69.0970067088658
-104.298902,42.112221,1264.000208,70.0231795389039
-104.309611,42.117256,1266.1216,71.0689953301011
-104.32161,42.122746,1270.794538,72.2318436669837
-104.331099,42.127203,1270,73.1581505982625
-104.340485,42.131611,1272.857898,74.0743193468735
-104.347497,42.136889,1272,75.041650948018
-104.359378,42.140486,1272.2504,76.12489009762
-104.375295,42.147954,1274.342933,77.6778553413393
-104.380477,42.150388,1273.284585,78.1835778920967
-104.389619,42.154681,1274.464855,79.0756695113608
-104.402006,42.160499,1275.7784,80.2844147525674
-104.411944,42.165157,1279.000904,81.253544062498
-104.419887,42.168932,1274.8448,82.0312121560665
-104.430589,42.173964,1280.762156,83.0756909510201
-104.440548,42.179136,1283.8896,84.07902993267
-104.451244,42.183808,1281.1872,85.1049138369365
-104.463843,42.1895,1279.8348,86.3212002357521
-104.474981,42.194721,1283.931901,87.4070258603747
-104.486568,42.200143,1289.182857,88.5359917435187
-104.491916,42.202638,1288.5032,89.0565998206498
-104.503633,42.206943,1286.00479,90.134094810985
-104.513466,42.212034,1287.6328,91.1323024629456
-104.523266,42.215605,1292.555253,92.0782502133394
-104.533643,42.224244,1294.36124,93.3639353495747
-104.538889,42.228539,1297.9996,94.0080655535551
-104.550311,42.233129,1295.497178,95.0798866415131
-104.560737,42.237076,1317.6004,96.0439411113895
-104.571502,42.241151,1303.228726,97.0392700442831
-104.581392,42.245977,1310.534607,98.0169233949162
-104.596532,42.247901,1327.832515,99.285461763664
-104.605843,42.249935,1311.180686,100.086592112108
-104.618457,42.251532,1338.355833,101.144581704568
-104.627923,42.255183,1329.3176,102.035784020282
-104.6401,42.25609,1315.924,103.064731015762
-104.651969,42.255566,1321,104.043499522069
-104.664607,42.255768,1347.682761,105.083863802117
-104.67612,42.256956,1317.927731,106.047286767937
-104.687511,42.259507,1329.753036,107.026721508659
-104.700066,42.262663,1349.998,108.119373276041
-104.710459,42.265649,1345.894267,109.040495004042
-104.724214,42.264372,1332.78364,110.184766029709
-104.733828,42.268015,1331.7808,111.117917753631
-104.744351,42.269826,1326.042079,112.042463981761
-104.758582,42.269739,1331.8792,113.213488474734
-104.767745,42.267006,1341.301702,114.055181920729
-104.781613,42.265804,1363.020402,115.235758573164
-104.79254,42.267708,1376.359027,116.164750378227
-104.802162,42.270158,1387.307884,117.009032872475
-104.813027,42.265718,1409.8972,118.035241380522
-104.823196,42.260831,1413.4804,119.033117961099
-104.832268,42.255062,1423.9416,120.017575773625
-104.842992,42.249953,1463.7712,121.078250785016
-104.856844,42.243973,1450.806692,122.400572804411
-104.863743,42.24078,1449.091162,123.070345658789
-104.874991,42.238579,1442.975091,124.037508750898
-104.886473,42.235504,1443.5568,125.047913967355
-104.899674,42.234495,1478.636,126.154494048614
-104.911,42.234592,1500.91872,127.087012449166
-104.927602,42.234572,1486.9184,128.45383540216
-104.943259,42.234604,1460.153709,129.742859328923
-104.947893,42.234607,1465.729882,130.124370845777
-104.967494,42.234619,1485.0432,131.738095530281
-104.973063,42.234617,1486.3788,132.19658338486
-104.987077,42.23454,1485.852157,133.350371144374
-104.997486,42.234507,1492,134.20734092574
-105.007442,42.234131,1496,135.029629216064
-105.019015,42.232459,1499.62659,136.000559816296
-105.026781,42.239219,1501.334055,137.09271156639
-105.03521,42.256088,1507.5952,139.09266877798
-105.036962,42.259515,1500.9368,139.500100166501
-105.038448,42.264196,1490.369208,140.037770549549
-105.046289,42.269807,1488.2508,141.14552897657
-105.050347,42.276866,1475.216,142.052153929327
-105.050458,42.285251,1465.6404,143.00813965659
-105.045962,42.294416,1460.945032,144.187788951912
-105.045928,42.302658,1482.715447,145.10427233324
-105.04591,42.311632,1491.8752,146.102142195895
-105.045895,42.319828,1518.862538,147.013575321825
-105.045111,42.329667,1519.3996,148.111658066636
-105.044985,42.337698,1518.248709,149.005037447596
-105.042014,42.346789,1515.889724,150.100770590181
-105.033438,42.351796,1517.982162,151.041321036751
-105.02179,42.353352,1504.970163,152.014005186542
-105.007673,42.354992,1490.611937,153.191649470061
-104.99796,42.356987,1490.656,154.022278265306
-104.990678,42.363657,1476.40556,155.01583775059
-104.994855,42.372267,1440.606146,156.038142983927
-104.986919,42.380729,1420.8168,157.282726068071
-104.982274,42.386165,1407.336638,158.007579738652
-104.983663,42.396036,1406.4572,159.120819676448
-104.990133,42.413447,1423.180725,161.13062786233
-104.99279,42.420229,1405.6928,161.915660889633
-104.993182,42.421169,1409.568736,162.025024940895
-104.993849,42.429887,1433.306,163.015438327422
-104.996202,42.4417,1441.047936,164.376045890783
-105.001863,42.445687,1430.5804,165.034792277578
-105.0155,42.452302,1418.65536,166.373809162752
-105.023407,42.458828,1422.046,167.35001706706
-105.027127,42.464014,1425.7648,168.019233198763
-105.027642,42.473284,1409.3552,169.051115252467
-105.030531,42.482703,1436.526203,170.140152313274
-105.029683,42.49035,1461.0788,171.015675510302
-105.026522,42.499117,1436.728081,172.037481016545
-105.024358,42.507848,1438.7472,173.039349834772
-105.023081,42.516349,1423.1832,174.000835533528
-105.025896,42.526585,1417.453274,175.164533748047
-105.028884,42.53405,1419,176.029967823473
-105.032972,42.543586,1426.9096,177.142209000201
-105.036143,42.551615,1419,178.073900536418
-105.043476,42.559921,1419.5136,179.176319353313
-105.051551,42.564074,1416.5844,180.011004757028
-105.062156,42.570107,1416.6148,181.109199355367
-105.069463,42.576701,1418.884656,182.083006950503
-105.068237,42.585008,1427.6532,183.062947980809
-105.070496,42.592551,1438.039364,184.025492969287
-105.081654,42.595717,1436.861303,185.00804056353
-105.091931,42.602295,1422.4276,186.122793463183
-105.100026,42.607965,1422,187.038453643736
-105.109211,42.613394,1421.379657,188.003714541428
-105.119964,42.620302,1419,189.171756453324
-105.127958,42.625433,1422.403851,190.039702356608
-105.138684,42.6323,1419.206528,191.202930924253
-105.147181,42.637752,1423.134628,192.125250848363
-105.159412,42.645591,1422.887304,193.45215577996
-105.164275,42.649011,1421.462644,194.002452249423
-105.16837,42.659211,1429,195.262841075094
-105.1767,42.657799,1427.187232,196.084839217725
-105.1884,42.656777,1441.904672,197.070493329563
-105.200235,42.656848,1450.846,198.038663769954
-105.207862,42.662442,1458.145492,199.095693405793
-105.214053,42.670284,1458.599966,200.107639071844
-105.221348,42.676807,1494,201.047548795906
-105.230929,42.682668,1491.791707,202.066439236055
-105.240424,42.68848,1481.528,203.076384565314
-105.249093,42.693819,1493.5104,204.000746925035
-105.258663,42.699693,1508.8948,205.019777037843
-105.269283,42.706979,1530.927699,206.206983540278
-105.276422,42.712066,1542.947838,207.129788622362
-105.297867,42.717201,1555.6024,209.012951290568
-105.298363,42.717292,1556.8604,209.054716835236
-105.310178,42.722429,1569.939812,210.22929486759
-105.317548,42.726727,1556.441268,211.003508816716
-105.332309,42.732013,1523.976999,212.345898864785
-105.339891,42.734848,1514.9396,213.040776780441
-105.356279,42.740955,1489,214.541589349567
-105.361389,42.743089,1485.120352,215.022872563613
-105.37058,42.748449,1479,216.002007773037
-105.383353,42.748468,1467.965676,217.045055239646
-105.394896,42.749594,1461.288777,218.009158680522
-105.406324,42.75142,1470,219.015406793647
-105.406573,42.760985,1481.184111,220.079365287961
-105.417129,42.762133,1517.414595,221.160767133286
-105.426388,42.765344,1504.4864,222.032953020797
-105.434711,42.772606,1483.7228,223.114957067423
-105.438059,42.779915,1487.615794,224.007365461505
-105.435885,42.78874,1475.749696,225.021159340744
-105.435997,42.79762,1474.9788,226.008956177919
-105.446965,42.806723,1481.812207,227.375220756059
-105.469402,42.823103,1499.991902,229.957231847672
-105.470073,42.823523,1501.3172,230.029174953374
-105.470792,42.823933,1499.976371,230.103450951011
-105.481269,42.82817,1524.941819,231.079458989614
-105.487357,42.834382,1499.565327,232.007308148449
-105.48821,42.843604,1497.8272,233.035129952102
-105.491507,42.852983,1478.969062,234.120362283565
-105.498471,42.860148,1490.264056,235.117979059033
-105.507741,42.865298,1509.9404,236.066439692775
-105.5178,42.869292,1529,237.005633412891
-105.525181,42.876994,1535.3484,238.05275827744
-105.532015,42.884289,1523.746,239.036661908179
-105.54073,42.89274,1535.236,240.214877203602
-105.547181,42.898741,1531.4676,241.064243419294
-105.554685,42.905472,1534.739507,242.031138181166
-105.563038,42.911963,1534.9332,243.022983018549
-105.573606,42.920174,1533.993126,244.277687029805
-105.580408,42.927335,1549.406,245.252649455856
-105.585691,42.934139,1575.436565,246.12293678634
-105.591201,42.9411,1589.689344,247.017760941461
-105.599361,42.947642,1574.175964,248.00419964367
-105.607606,42.955679,1587.212017,249.138647818317
-105.615662,42.952935,1598.732309,250.048642936102
-105.625659,42.945585,1618.788,251.201897412784
-105.633362,42.940759,1625.343184,252.032220012226
-105.645128,42.939667,1627.290407,253.007809402973
-105.662391,42.939487,1637.914,254.413210218483
-105.672144,42.939381,1637.835917,255.207220568965
-105.686392,42.939365,1618.836803,256.367056309749
-105.692131,42.936435,1604,257.026141231317
-105.692121,42.927573,1596.633036,258.011573244007
-105.703685,42.924848,1581.401645,259.128826630415
-105.714581,42.92488,1596.143229,260.016033240956
-105.727987,42.924829,1601.478,261.107601803289
-105.741301,42.924876,1606.4464,262.191672083991
-105.759593,42.924865,1634.0696,263.681077438227
-105.763944,42.924838,1644.7496,264.035364582538
-105.776266,42.922512,1649.5288,265.077176602688
-105.78796,42.920818,1609.380211,266.050145937776
-105.798887,42.917495,1596.999878,267.013644006804
-105.810469,42.914788,1589.073787,268.003945549255
-105.823677,42.913952,1615.4644,269.090001966389
-105.836597,42.89689,1614.593643,271.318495745971
-105.836849,42.896458,1616.7512,271.370734305428
-105.846162,42.885382,1606.885537,272.817556641072
-105.847653,42.883629,1604.542528,273.047245509929
-105.855678,42.877151,1562.862,274.021619786049
-105.866303,42.871414,1513.3996,275.1005328033
-105.8786,42.867544,1516.1184,276.20484274832
-105.882258,42.861451,1529.5528,277.0041595742
-105.896165,42.860929,1534.368027,278.14107270471
-105.910558,42.860902,1530.5144,279.316814400116
-105.919678,42.861169,1537.709223,280.060746522863
-105.931652,42.859753,1527.7784,281.054559054587
-105.944386,42.857376,1538.3136,282.125674846602
-105.957014,42.853283,1542.7496,283.253082373026
-105.967611,42.849908,1538.732748,284.196085634
-105.977776,42.847241,1540.9324,285.076237521094
-105.99077,42.845728,1539.3792,286.154919931665
-106.001606,42.845712,1541.2184,287.038843028332
-106.013457,42.849204,1541.8656,288.09396437048
-106.024107,42.854417,1540.9828,289.137870002036
-106.033693,42.859105,1545.326646,290.077200571128
-106.0481,42.859883,1541.513808,291.287957801402
-106.058007,42.858725,1561.82,292.105673950152
-106.072893,42.856968,1546.295625,293.334676467027
-106.081265,42.855981,1536.259494,294.02591266818
-106.094614,42.854399,1541.8804,295.128238224338
-106.105918,42.853312,1550.1536,296.058702144867
-106.125276,42.855241,1563.994447,297.651551486173
-106.131603,42.855918,1560.15934,298.172826214928
-106.141768,42.855524,1557.3648,299.006778400907
-106.160458,42.853389,1562.4484,300.548691155291
-106.166137,42.852722,1561.3084,301.017547305612
-106.176818,42.848588,1548.4552,302.013760338887
-106.187899,42.843808,1551.83668,303.064688193596
-106.199169,42.843993,1552.996852,304.009529515967
-106.209593,42.849179,1555.9556,305.038840763219
-106.220694,42.852889,1561.199559,306.033541694537
-106.23235,42.854505,1560.35972,307.002747126753
-106.245734,42.855956,1561.483368,308.105654250912
-106.256699,42.857147,1557.472079,309.009210283782
-106.270578,42.857301,1569.2836,310.152120523863
-106.28089,42.856202,1567.1416,311.00469039508
-106.293514,42.854782,1565.7848,312.046583067089
-106.306509,42.853173,1566.5868,313.124688047373
-106.316666,42.850095,1563.684,314.025592478614
-106.329971,42.850092,1560,315.110267265171
-106.337218,42.851326,1561.777041,316.094785078053
-106.333148,42.858338,1559.005591,317.017614128811
-106.338548,42.864062,1593.160791,318.040929583432
-106.337924,42.867587,1622.550537,318.603111813751
