ER1,ER2,ER3,ER4
-106.337497,42.86721,1621.955525,0
-106.34639,42.866992,1615.167885,1.02767589730821
-106.358232,42.86516,1618.424,2.01686947003393
-106.375467,42.862893,1603.787924,3.44401305366016
-106.382934,42.862689,1573.359486,4.05361034124129
-106.39465,42.862602,1582.6272,5.00856471779715
-106.403954,42.857344,1612.804439,6.02507804930448
-106.413736,42.852425,1631.211792,7.00165281119327
-106.4212,42.844458,1597.033184,8.08294967395394
-106.432044,42.841869,1591.738941,9.02589255619252
-106.445854,42.838719,1599.822303,10.2494328161992
-106.450677,42.832497,1609.547278,11.0635021359633
-106.452865,42.821399,1619.628,12.3344363874649
-106.453198,42.815406,1641.313508,13.0033213211037
-106.458834,42.807291,1593.1,14.0238406540891
-106.460513,42.797759,1607.750844,15.0961447226871
-106.461449,42.785484,1662.6904,16.4633280325151
-106.458581,42.781441,1659.7832,17.0032006594885
-106.462193,42.772853,1665.287112,18.1464612349929
-106.469742,42.767364,1679.1424,19.0181397258689
-106.482492,42.763982,1645.6936,20.1359394556831
-106.493134,42.76423,1617.544,21.0074876083332
-106.505124,42.761176,1614.596521,22.0571906517364
-106.514919,42.755221,1610.6052,23.1032975483664
-106.5214,42.747409,1597.548304,24.1205299828856
-106.52774,42.73938,1595.912448,25.1528693365328
-106.53224,42.73252,1597.681216,26.0033055646292
-106.5335,42.72357,1593.8216,27.0079516658096
-106.540389,42.71522,1588.682883,28.0995786487717
-106.553209,42.710057,1598.401848,29.3019810683296
-106.56109,42.707301,1600.7924,30.0162213849571
-106.56965,42.698539,1602.067096,31.2248650411893
-106.58088,42.68468,1620.832,33.0185435543407
-106.584828,42.679901,1631.5704,33.6402615605763
-106.588563,42.675316,1635.286968,34.2345271152577
-106.594012,42.668684,1623.326904,35.096095157625
-106.599561,42.661402,1632.133405,36.0245728179399
-106.614233,42.643467,1619.7612,38.351997781931
-106.61664,42.640996,1616.529382,38.6900159081149
-106.618689,42.638566,1600.884463,39.0080923226368
-106.6257,42.629634,1641.6824,40.1552222975116
-106.634543,42.618741,1642.022991,41.5661583344743
-106.638154,42.614288,1635.519996,42.1427733608693
-106.648504,42.605914,1633.2904,43.4098603338754
-106.65487,42.601539,1627.0724,44.1227101034165
-106.663125,42.595903,1633.9992,45.0443007550183
-106.674648,42.591159,1637.031535,46.1292664527471
-106.68546,42.587675,1645.61272,47.0967195291697
-106.695793,42.584778,1666.116044,48.0039344411738
-106.704811,42.578685,1652.275786,49.0096913975522
-106.712991,42.572069,1648.4648,50.0062191818304
-106.719725,42.564539,1635.421388,51.0187669126351
-106.729807,42.559999,1650.612901,52.0112217013349
-106.747145,42.561565,1694.908,53.4440277659236
-106.754932,42.562259,1715.577977,54.0866808596461
-106.76691,42.562683,1754.817909,55.0688296426163
-106.777484,42.560157,1786.402244,56.0039468634524
-106.786777,42.554392,1798.111391,57.009240492233
-106.801328,42.553005,1803.194906,58.2123764145291
-106.811716,42.552141,1845.81433,59.0686913769384
-106.825985,42.553173,1898.283951,60.2523008716615
-106.835512,42.554844,1922.3152,61.0548704402662
-106.846555,42.558292,1930.804,62.0400666722064
-106.858579,42.559365,1915.368538,63.0323489965204
-106.870885,42.560427,1918.839519,64.0471466323938
-106.893815,42.561778,1907.266,65.9311984906652
-106.898416,42.562002,1899.466463,66.3088440866631
-106.909306,42.562567,1878.361414,67.2029443469446
-106.923221,42.563278,1876.4044,68.3453111528463
-106.934723,42.563871,1851.1232,69.2896096444818
-106.9441,42.56435,1836.9,70.0594075026489
-106.955563,42.564929,1830.9732,71.0003979264802
-106.973872,42.565853,1808.0608,72.5033426757799
-106.983142,42.566317,1806,73.2642586757207
-106.993695,42.566861,1805.604,74.1306037768556
-107.004284,42.566498,1804.165919,75.000775226727
-107.017188,42.563896,1803.022446,76.0969959754315
-107.028413,42.561456,1796.2416,77.0555212687974
-107.044538,42.557953,1794.124347,78.4324530708576
-107.051957,42.556352,1793.0452,79.0656645788662
-107.064019,42.553734,1802.32242,80.0956536526496
-107.078004,42.550708,1809.916257,81.2896063072732
-107.086512,42.548523,1814.9348,82.0292760007383
-107.095696,42.542323,1814.684968,83.0572830382729
-107.103252,42.53586,1810.808,84.0058098480599
-107.11121,42.529082,1810.644,85.0024333496874
-107.120848,42.520857,1811.9472,86.2108573584309
-107.126931,42.515213,1809.729687,87.0130392612672
-107.132277,42.50664,1806.725731,88.0656203453077
-107.136857,42.496343,1798.1496,89.270642564332
-107.139687,42.490098,1795.308065,90.0027995180437
-107.145363,42.480371,1810.592324,91.1841408004816
-107.152045,42.474355,1821.549128,92.051249069283
-107.166118,42.466266,1827.986172,93.5152586165729
-107.171612,42.463194,1828.295515,94.0807486883981
-107.185605,42.455334,1834.737173,95.5235265530515
-107.190137,42.45153,1845.249346,96.0896576766431
-107.196708,42.444004,1833.4368,97.0851587969947
-107.205754,42.437792,1832.7656,98.112854610259
-107.219018,42.434394,1852.7168,99.2657779203269
-107.227499,42.432254,1831.000412,100.001356508814
-107.242168,42.428612,1836,101.271568200498
-107.258062,42.424664,1856.4192,102.647999033417
-107.267895,42.422217,1865.578,103.499739794937
-107.27871,42.419516,1859.165894,104.436918942524
-107.287175,42.417421,1849.406052,105.169805106641
-107.300447,42.414107,1859.306856,106.319960066892
-107.308504,42.412103,1872.1852,107.017929366874
-107.324007,42.408268,1882.460386,108.360258347943
-107.351615,42.401393,1878.982447,110.752481244997
-107.360357,42.399201,1872.338299,111.510557813527
-107.362669,42.398603,1875.0292,111.711713375064
-107.366145,42.39774,1875,112.012843905848
-107.382104,42.39375,1880.2872,113.396451018942
-107.389822,42.391881,1874.505559,114.063469899164
-107.412416,42.380944,1883.419676,116.301587909118
-107.41421,42.379875,1885.2238,116.490910863134
-107.422873,42.374957,1888.444535,117.388378170624
-107.435995,42.367502,1901.582,118.74824185548
-107.440164,42.365108,1905.229548,119.182034880449
-107.450237,42.370538,1916.0632,120.589534034137
-107.454545,42.374509,1928.872271,121.155795110017
-107.460585,42.381024,1929,122.041498016129
-107.465397,42.389384,1938.553406,123.052849895499
-107.473953,42.39581,1956.187387,124.056086489994
-107.485868,42.40201,1951.432653,125.252980036436
-107.493768,42.406435,1969.528957,126.069003387671
-107.500615,42.413516,1971.544074,127.036464420381
-107.512131,42.424022,1944.5208,128.540523771798
-107.517953,42.429072,1937.415823,129.277862081043
-107.523867,42.434139,1941.829448,130.021533305059
-107.532434,42.441636,1919.5688,131.112179523717
-107.542045,42.44987,1911.468,132.320562496805
-107.556193,42.45485,1893.778384,133.613930894158
-107.57819,42.461498,1881.797315,135.564023951721
-107.583669,42.463193,1883.808484,136.051389948368
-107.583761,42.463221,1884.353414,136.059553698857
-107.594952,42.467261,1879.975877,137.089493149825
-107.606834,42.473992,1884,138.320990793283
-107.614178,42.477616,1888.4584,139.045728347244
-107.625572,42.480461,1889.960952,140.034858430558
-107.639364,42.482142,1889.9992,141.181322453062
-107.649449,42.483325,1896.03,142.018792182579
-107.663423,42.483915,1903.353143,143.166610758763
-107.676485,42.484603,1908.114297,144.240503529496
-107.687804,42.485256,1919.070999,145.171512480164
-107.700969,42.486019,1924.015507,146.254380015031
-107.721831,42.487008,1910.685042,147.968644259962
-107.737967,42.487677,1914,149.293855022221
-107.740129,42.487763,1913.4292,149.471391559161
-107.747891,42.488092,1913.5924,150.108905314637
-107.761318,42.488642,1918.7448,151.211577240723
-107.774444,42.489189,1922.0788,152.289579329851
-107.784755,42.489623,1924,153.136419830998
-107.802109,42.490339,1924.054235,154.561581590662
-107.809823,42.491478,1925.3628,155.208428033784
-107.82012,42.493419,1927.483571,156.079861221999
-107.83978,42.497227,1936.951978,157.746460358855
-107.851777,42.499506,1930.2216,158.762139549349
-107.862027,42.501473,1934.089992,159.630442295157
-107.875636,42.504062,1934.2896,160.782624814037
-107.893412,42.507504,1934.2832,162.289218346526
-107.894049,42.507627,1935.5428,162.343195744291
-107.903833,42.509458,1945.711019,163.170632710604
-107.914655,42.510645,1932.244076,164.067466468296
-107.935032,42.512888,1952.930511,165.756210366614
-107.950099,42.513869,1955.330882,166.996152904005
-107.957485,42.514306,1962.972914,167.603478869185
-107.963406,42.51466,1961.4856,168.09037263961
-107.974735,42.515321,1970.7524,169.021823003421
-108.00064,42.516875,1972.924,171.152031640752
-108.007685,42.517258,1960.496181,171.731002083091
-108.011227,42.517697,1956.121322,172.025894294895
-108.032584,42.521643,1978.770164,173.830559055747
-108.039721,42.522879,1982.9024,174.431383025824
-108.048675,42.52448,1995.99656,175.186453617301
-108.072383,42.530422,1998.435887,177.239788541907
-108.090853,42.535287,1994.035551,178.846968739348
-108.101837,42.538185,1992.9208,179.80287693562
-108.102285,42.5383,1991.68112,179.841745852473
-108.114071,42.541399,2008.048936,180.867007947466
-108.122592,42.5436,2034.615296,181.606755491831
-108.128167,42.544389,2040.438641,182.072309073451
-108.148028,42.54305,2021.141184,183.708338554623
-108.166014,42.541561,2014.1412,185.191153029909
-108.169011,42.541326,2008.099525,185.438075222346
-108.176743,42.541078,2003.205644,186.074732337556
-108.187963,42.542945,1997.068214,187.017173788265
-108.207624,42.542271,2012.983188,188.643578210155
-108.213252,42.541763,2015.2928,189.108107139747
-108.224296,42.545465,2014.477786,190.148886310748
-108.234573,42.552877,2012.6428,191.327019987884
-108.241558,42.557885,2026.462997,192.125414787579
-108.251198,42.566053,2023.065438,193.329666766657
-108.26014,42.573942,2032.721965,194.472343614756
-108.267494,42.580438,2046.567659,195.412736983233
-108.27469,42.584369,2051.715011,196.15165995175
-108.285001,42.585701,2059.048915,197.016815184661
-108.297061,42.583371,2026.176996,198.040216659978
-108.308402,42.584933,1988.4884,199.035059911741
-108.312135,42.593386,1955.684466,200.054225206863
-108.318347,42.602185,1901.738978,201.163987852669
-108.323449,42.608991,1876.253606,202.030043162569
-108.320456,42.617853,1845.472255,203.080282819688
-108.323738,42.625857,1795.5432,204.089856103664
-108.332864,42.63149,1766.425658,205.064419105625
-108.343338,42.637954,1726.258142,206.182841079241
-108.349625,42.643992,1709.65,207.032505973411
-108.356578,42.652037,1745.240843,208.092611466122
-108.362784,42.65917,1743.042931,209.034239571211
-108.371094,42.666063,1714.602669,210.069619257535
-108.38308,42.669181,1713.8452,211.114337908893
-108.393744,42.671245,1703.230589,212.015923638827
-108.405771,42.673629,1712,213.034322161578
-108.417705,42.676142,1726.304466,214.049187419488
-108.429372,42.67862,1744.779546,215.041953045246
-108.440297,42.683762,1767.632789,216.111145504009
-108.457592,42.69413,1798.161037,217.93523692665
-108.458356,42.694589,1797.957535,218.015881400578
-108.468411,42.700712,1780.8656,219.083028088887
-108.479892,42.703812,1762.16918,220.096654524087
-108.491656,42.703048,1752.985044,221.063106352431
-108.504183,42.701169,1747.8504,222.108312475652
-108.520799,42.699119,1737.1236,223.485743750767
-108.52795,42.698321,1734.514328,224.077064042599
-108.539608,42.69592,1729.808,225.085184271357
-108.552872,42.694584,1732.830428,226.239598910936
-108.562699,42.694199,1717.964,227.088760806877
-108.572943,42.694045,1702.172155,228.01684385413
-108.583586,42.698638,1708,229.050600638989
-108.595399,42.704691,1679.8876,230.236359564245
-108.602754,42.710246,1671.951615,231.100307520463
-108.610867,42.717246,1667.8288,232.122709668826
-108.619616,42.724833,1664.4212,233.228408940018
-108.627256,42.728998,1650.223436,234.019149120267
-108.639079,42.729242,1692.870009,235.007208909762
-108.647017,42.733802,1688.768903,236.071685534018
-108.648917,42.742048,1687.410527,237.001640311925
-108.651152,42.751465,1657.619133,238.064635973534
-108.652819,42.759965,1663.855302,239.019697340744
-108.655742,42.76922,1642.6712,240.079711346562
-108.662117,42.777367,1651.199783,241.127643970406
-108.669642,42.785118,1647.122682,242.185936285296
-108.675416,42.791201,1627.48787,243.010370215887
-108.682964,42.798416,1637.869911,244.02370526422
-108.693041,42.803449,1629.553019,245.019644733668
-108.703002,42.810097,1639.8912,246.125026087664
-108.710999,42.816773,1640.750898,247.113446987974
-108.717705,42.823417,1671.515714,248.040216754798
-108.723763,42.830916,1643.723128,249.028855478976
-108.735047,42.83396,1636.256,250.02141637819
-108.744877,42.837736,1639.539994,251.022282912025
-108.745873,42.84158,1632.579446,251.48090682528
